ParamID,ParamCode,ParamName,AQSCode,Units,Description
101,"ALf","Aluminum (Fine)","88104","ug/m^3","-999"
102,"ASf","Arsenic (Fine)","88103","ug/m^3","-999"
104,"BRf","Bromine (Fine)","88109","ug/m^3","-999"
105,"CAf","Calcium (Fine)","88111","ug/m^3","Mass of calcium particles < 2.5 um in diameter"
108,"CHLf","Chloride (Fine)","88203","ug/m^3","Chloride Elemental Concentration FINE Size Fraction"
109,"CLf","Chlorine (Fine)","88115","ug/m^3","-999"
112,"CRf","Chromium (Fine)","88112","ug/m^3","-999"
113,"CUf","Copper (Fine)","88114","ug/m^3","Copper Elemental Concentration FINE Size Fraction"
114,"ECf","Carbon, Elemental Total (Fine)","88321","ug/m^3","From TOR carbon fractions (E1+E2+E3-OP)"
115,"EC1f","Carbon, Elemental Fraction 1 (Fine)","88329","ug/m^3","-999"
116,"EC2f","Carbon, Elemental Fraction 2 (Fine)","88330","ug/m^3","-999"
117,"EC3f","Carbon, Elemental Fraction 3 (Fine)","88331","ug/m^3","-999"
118,"FEf","Iron (Fine)","88126","ug/m^3","-999"
124,"Kf","Potassium (Fine)","88180","ug/m^3","Mass of potassium particles < 2.5 um in diameter"
127,"MF","Mass, PM2.5 (Fine)","-999","ug/m^3","Gravimetric fine mass"
128,"MGf","Magnesium (Fine)","88140","ug/m^3","Mass of magnesium particles < 2.5 um in diameter"
130,"MNf","Manganese (Fine)","88132","ug/m^3","-999"
132,"MT","Mass, PM10 (Total)","85101","ug/m^3","Gravimetric mass < 10 um in diameter"
133,"N2f","Nitrite (Fine)","88338","ug/m^3","-999"
134,"NAf","Sodium (Fine)","88184","ug/m^3","Mass of sodium particles < 2.5 um in diameter"
138,"NIf","Nickel (Fine)","88136","ug/m^3","-999"
139,"NO3f","Nitrate (Fine)","88306","ug/m^3","Mass of nitrate particles < 2.5 um in diameter"
141,"OCf","Carbon, Organic Total (Fine)","88320","ug/m^3","From TOR carbon fractions (OC1+OC2+OC3+OC4+OP)"
142,"OC1f","Carbon, Organic Fraction 1 (Fine)","88324","ug/m^3","-999"
143,"OC2f","Carbon, Organic Fraction 2 (Fine)","88325","ug/m^3","-999"
144,"OC3f","Carbon, Organic Fraction 3 (Fine)","88326","ug/m^3","-999"
145,"OC4f","Carbon, Organic Fraction 4 (Fine)","88327","ug/m^3","-999"
146,"OPf","Carbon, Organic Pyrolized (Fine), by Reflectance","88328","ug/m^3","-999"
147,"Pf","Phosphorus (Fine)","88152","ug/m^3","-999"
148,"PBf","Lead (Fine)","88128","ug/m^3","-999"
150,"RBf","Rubidium (Fine)","88176","ug/m^3","-999"
151,"Sf","Sulfur (Fine)","88169","ug/m^3","-999"
153,"SEf","Selenium (Fine)","88154","ug/m^3","-999"
154,"SIf","Silicon (Fine)","88165","ug/m^3","-999"
156,"SO4f","Sulfate (Fine)","88403","ug/m^3","Mass of sulfate particles < 2.5 um in diameter"
158,"SRf","Strontium (Fine)","88168","ug/m^3","-999"
159,"TIf","Titanium (Fine)","88161","ug/m^3","-999"
160,"Vf","Vanadium (Fine)","88164","ug/m^3","-999"
162,"ZNf","Zinc (Fine)","88167","ug/m^3","-999"
163,"ZRf","Zirconium (Fine)","88185","ug/m^3","-999"
301,"fAbs","Filter Absorption Coefficient","63102","1/Mm","A calibrated absorption coefficient measured from a Teflon filter using a hybrid integrating plate and sphere method"
