Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
"Acadia NP","ACAD1","IMPAER","US","ME","23009","230090103",44.37710,-68.26100,157,"03/02/1988","10/30/2023","-999","Unknown","-999","Park Headquarters","NPS","IMPROVE",1
"Addison Pinnacle","ADPI1","IMPAER","US","NY","36101","361019000",42.09120,-77.20990,512,"04/04/2001","06/28/2010","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Agua Tibia","AGTI1","IMPAER","US","CA","06065","060659000",33.46360,-116.97060,507,"12/20/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Ambler","AMBL1","IMPAER","US","AK","02188","021889000",67.09934,-157.86280,77,"09/03/2003","11/29/2004","-999","-999","-999","-999","NPS","IMPROVE",1
"Arches NP","ARCH1","IMPAER","US","UT","49019","490190101",38.78330,-109.58330,1722,"03/02/1988","12/29/1999","-999","Unknown","-999","Devils Garden Campground","-999","IMPROVE",1
"Arendtsville","AREN1","IMPAER","US","PA","42001","420019000",39.92320,-77.30790,267,"04/04/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Badlands NP","BADL1","IMPAER","US","SD","46071","460710001",43.74350,-101.94120,736,"03/02/1988","10/30/2023","-999","Unknown","-999","Park Headquarters","NPS","IMPROVE",1
"Baengnyeong Island","BYIS1","IMPAER","KR","-999","-999","-999",37.96590,124.63080,100,"03/20/2013","12/19/2022","-999","-999","-999","-999","-999","IMPROVE",2
"Baengnyeong Island Co-located A Module","BYISX","IMPAER","KR","-999","-999","-999",37.96590,124.63080,100,"04/23/2014","07/29/2015","-999","-999","-999","-999","-999","IMPROVE",1
"Baltimore","BALT1","IMPAER","US","MD","24005","240059000",39.25470,-76.70930,78,"06/02/2004","12/31/2006","-999","-999","-999","-999","SPECIAL","IMPROVE",1
