VariableName,VariableType,VariableNewName
Cruise,categorical,Cruise
Station_METAVAR_INDEXED_TEXT,string,Station
Type,char,
yyyy_mm_ddThh_mm_ss_sss,datetime,Date
Longitude_degrees_east_,double,Longitude
Latitude_degrees_north_,double,Latitude
Bot_Depth_m_,double,
Operator_sCruiseName_METAVAR_INDEXED_TEXT,char,
ShipName_METAVAR_INDEXED_TEXT,char,
Period_METAVAR_INDEXED_TEXT,string,Period
ChiefScientist_METAVAR_INDEXED_TEXT,char,
GEOTRACESScientist_METAVAR_INDEXED_TEXT,char,
CruiseAliases_METAVAR_INDEXED_TEXT,char,
CruiseInformationLink_METAVAR_INDEXED_TEXT,char,
BODCCruiseNumber_METAVAR_INTEGER,double,
DEPTH_m_,double,
QV_SEADATANET,double,
GEOTRACESSampleID_INDEXED_TEXT,char,
QV_SEADATANET_1,double,
CastIdentifier_INDEXED_TEXT,char,
QV_SEADATANET_2,double,
SamplingDevice_INDEXED_TEXT,char,
QV_SEADATANET_3,double,
BODCBottleNumber_INTEGER,double,
QV_SEADATANET_4,double,
BODCEventNumber_INTEGER,double,
QV_SEADATANET_5,double,
Al_A_T_CONC_HIVOL_pmol_m_3_,double,Al
QV_SEADATANET_6,double,Al_flag
As_A_T_CONC_HIVOL_pmol_m_3_,double,As
QV_SEADATANET_7,double,As_flag
Ba_A_T_CONC_HIVOL_pmol_m_3_,double,Ba
QV_SEADATANET_8,double,Ba_flag
Ca_A_T_CONC_HIVOL_pmol_m_3_,double,Ca
QV_SEADATANET_9,double,Ca_flag
Cd_A_T_CONC_HIVOL_pmol_m_3_,double,Cd
QV_SEADATANET_10,double,Cd_flag
Co_A_T_CONC_HIVOL_pmol_m_3_,double,Co
QV_SEADATANET_11,double,Co_flag
Cr_A_T_CONC_HIVOL_pmol_m_3_,double,Cr
QV_SEADATANET_12,double,Cr_flag
Cs_A_T_CONC_HIVOL_pmol_m_3_,double,Cs
QV_SEADATANET_13,double,Cs_flag
Cu_A_T_CONC_HIVOL_pmol_m_3_,double,Cu
QV_SEADATANET_14,double,Cu_flag
Fe_A_T_CONC_HIVOL_pmol_m_3_,double,Fe
QV_SEADATANET_15,double,Fe_flag
K_A_T_CONC_HIVOL_pmol_m_3_,double,K
QV_SEADATANET_16,double,K_flag
Li_A_T_CONC_HIVOL_pmol_m_3_,double,Li
QV_SEADATANET_17,double,Li_flag
Mg_A_T_CONC_HIVOL_pmol_m_3_,double,Mg
QV_SEADATANET_18,double,Mg_flag
