VariableName,VariableType,VariableNewName
Dataset,categorical,
SiteCode,categorical,SiteCode
POC,double,
Date,datetime,Date
ALf_Val,double,Al
ALf_Status,categorical,Al_Status
ALf_ProviderFlag,categorical,
ALf_Unc,double,Al_Unc
ALf_MDL,double,Al_MDL
ammNO3f_Val,double,ammNO3
ammNO3f_Status,categorical,ammNO3_Status
ammNO3f_ProviderFlag,categorical,
ammNO3f_Unc,double,ammNO3_Unc
ammNO3f_MDL,double,ammNO3_MDL
ammSO4f_Val,double,ammSO4
ammSO4f_Status,categorical,ammSO4_Status
ammSO4f_ProviderFlag,categorical,
ammSO4f_Unc,double,ammSO4_Unc
ammSO4f_MDL,double,ammSO4_MDL
ASf_Val,double,As
ASf_Status,categorical,As_Status
ASf_ProviderFlag,categorical,
ASf_Unc,double,As_Unc
ASf_MDL,double,As_MDL
BRf_Val,double,Br
BRf_Status,categorical,Br_Status
BRf_ProviderFlag,categorical,
BRf_Unc,double,Br_Unc
BRf_MDL,double,Br_MDL
CAf_Val,double,Ca
CAf_Status,categorical,Ca_Status
CAf_ProviderFlag,categorical,
CAf_Unc,double,Ca_Unc
CAf_MDL,double,Ca_MDL
EC1f_Val,double,
EC1f_Status,categorical,
EC1f_ProviderFlag,categorical,
EC1f_Unc,double,
EC1f_MDL,double,
EC2f_Val,double,
EC2f_Status,categorical,
EC2f_ProviderFlag,categorical,
EC2f_Unc,double,
EC2f_MDL,double,
EC3f_Val,double,
EC3f_Status,categorical,
EC3f_ProviderFlag,categorical,
EC3f_Unc,double,
EC3f_MDL,double,
ECf_Val,double,EC
ECf_Status,categorical,EC_Status
ECf_ProviderFlag,categorical,
ECf_Unc,double,EC_Unc
ECf_MDL,double,EC_MDL
OC1f_Val,double,
OC1f_Status,categorical,
OC1f_ProviderFlag,categorical,
OC1f_Unc,double,
OC1f_MDL,double,
OC2f_Val,double,
OC2f_Status,categorical,
OC2f_ProviderFlag,categorical,
OC2f_Unc,double,
OC2f_MDL,double,
OC3f_Val,double,
OC3f_Status,categorical,
OC3f_ProviderFlag,categorical,
OC3f_Unc,double,
OC3f_MDL,double,
OC4f_Val,double,
OC4f_Status,categorical,
OC4f_ProviderFlag,categorical,
OC4f_Unc,double,
OC4f_MDL,double,
OMCf_Val,double,OC_Massfine
OMCf_Status,categorical,OC_Massfine_Status
OMCf_ProviderFlag,categorical,
OMCf_Unc,double,OC_Massfine_Unc
OMCf_MDL,double,OC_Massfine_MDL
OPf_Val,double,OC_PyroFine
OPf_Status,categorical,OC_PyroFine_Status
OPf_ProviderFlag,categorical,
OPf_Unc,double,OC_PyroFine_Unc
OPf_MDL,double,OC_PyroFine_MDL
OPTf_Val,double,OC_PyroFineTransm
OPTf_Status,categorical,OC_PyroFineTransm_Status
OPTf_ProviderFlag,categorical,
OPTf_Unc,double,OC_PyroFineTransm_Unc
OPTf_MDL,double,OC_PyroFineTransm_MDL
OCf_Val,double,OC
OCf_Status,categorical,OC_Status
OCf_ProviderFlag,categorical,
OCf_Unc,double,OC_Unc
OCf_MDL,double,OC_MDL
TCf_Val,double,TC
TCf_Status,categorical,TC_Status
TCf_ProviderFlag,categorical,
TCf_Unc,double,TC_Unc
TCf_MDL,double,TC_MDL
CHLf_Val,double,Chloride
CHLf_Status,categorical,Chloride_Status
CHLf_ProviderFlag,categorical,
CHLf_Unc,double,Chloride_Unc
CHLf_MDL,double,Chloride_MDL
CLf_Val,double,Cl
CLf_Status,categorical,Cl_Status
CLf_ProviderFlag,categorical,
CLf_Unc,double,Cl_Unc
CLf_MDL,double,Cl_MDL
CRf_Val,double,Cr
CRf_Status,categorical,Cr_Status
CRf_ProviderFlag,categorical,
CRf_Unc,double,Cr_Unc
CRf_MDL,double,Cr_MDL
CUf_Val,double,Cu
CUf_Status,categorical,Cu_Status
CUf_ProviderFlag,categorical,
CUf_Unc,double,Cu_Unc
CUf_MDL,double,Cu_MDL
fAbs_Val,double,
fAbs_Status,categorical,
fAbs_ProviderFlag,categorical,
fAbs_Unc,double,
fAbs_MDL,double,
RefF_405_Val,double,
RefF_405_Status,categorical,
RefF_405_ProviderFlag,categorical,
RefF_405_Unc,double,
RefF_405_MDL,double,
RefF_445_Val,double,
RefF_445_Status,categorical,
RefF_445_ProviderFlag,categorical,
RefF_445_Unc,double,
RefF_445_MDL,double,
RefF_532_Val,double,
RefF_532_Status,categorical,
RefF_532_ProviderFlag,categorical,
RefF_532_Unc,double,
RefF_532_MDL,double,
RefF_635_Val,double,
RefF_635_Status,categorical,
RefF_635_ProviderFlag,categorical,
RefF_635_Unc,double,
RefF_635_MDL,double,
RefF_780_Val,double,
RefF_780_Status,categorical,
RefF_780_ProviderFlag,categorical,
RefF_780_Unc,double,
RefF_780_MDL,double,
RefF_808_Val,double,
RefF_808_Status,categorical,
RefF_808_ProviderFlag,categorical,
RefF_808_Unc,double,
RefF_808_MDL,double,
RefF_980_Val,double,
RefF_980_Status,categorical,
RefF_980_ProviderFlag,categorical,
RefF_980_Unc,double,
RefF_980_MDL,double,
TransF_405_Val,double,
TransF_405_Status,categorical,
TransF_405_ProviderFlag,categorical,
TransF_405_Unc,double,
TransF_405_MDL,double,
TransF_445_Val,double,
TransF_445_Status,categorical,
TransF_445_ProviderFlag,categorical,
TransF_445_Unc,double,
TransF_445_MDL,double,
TransF_532_Val,double,
TransF_532_Status,categorical,
TransF_532_ProviderFlag,categorical,
TransF_532_Unc,double,
TransF_532_MDL,double,
TransF_635_Val,double,
TransF_635_Status,categorical,
TransF_635_ProviderFlag,categorical,
TransF_635_Unc,double,
TransF_635_MDL,double,
TransF_780_Val,double,
TransF_780_Status,categorical,
TransF_780_ProviderFlag,categorical,
TransF_780_Unc,double,
TransF_780_MDL,double,
TransF_808_Val,double,
TransF_808_Status,categorical,
TransF_808_ProviderFlag,categorical,
TransF_808_Unc,double,
TransF_808_MDL,double,
TransF_980_Val,double,
TransF_980_Status,categorical,
TransF_980_ProviderFlag,categorical,
TransF_980_Unc,double,
TransF_980_MDL,double,
FlowRate_Val,double,FlowRate
FlowRate_Status,categorical,FlowRate_Status
FlowRate_ProviderFlag,categorical,
FlowRate_Unc,double,FlowRate_Unc
FlowRate_MDL,double,FlowRate_MDL
RefI_405_Val,double,
RefI_405_Status,categorical,
RefI_405_ProviderFlag,categorical,
RefI_405_Unc,double,
RefI_405_MDL,double,
RefI_445_Val,double,
RefI_445_Status,categorical,
RefI_445_ProviderFlag,categorical,
RefI_445_Unc,double,
RefI_445_MDL,double,
RefI_532_Val,double,
RefI_532_Status,categorical,
RefI_532_ProviderFlag,categorical,
RefI_532_Unc,double,
RefI_532_MDL,double,
RefI_635_Val,double,
RefI_635_Status,categorical,
RefI_635_ProviderFlag,categorical,
RefI_635_Unc,double,
RefI_635_MDL,double,
RefI_780_Val,double,
RefI_780_Status,categorical,
RefI_780_ProviderFlag,categorical,
RefI_780_Unc,double,
RefI_780_MDL,double,
RefI_808_Val,double,
RefI_808_Status,categorical,
RefI_808_ProviderFlag,categorical,
RefI_808_Unc,double,
RefI_808_MDL,double,
RefI_980_Val,double,
RefI_980_Status,categorical,
RefI_980_ProviderFlag,categorical,
RefI_980_Unc,double,
RefI_980_MDL,double,
TransI_405_Val,double,
TransI_405_Status,categorical,
TransI_405_ProviderFlag,categorical,
TransI_405_Unc,double,
TransI_405_MDL,double,
TransI_445_Val,double,
TransI_445_Status,categorical,
TransI_445_ProviderFlag,categorical,
TransI_445_Unc,double,
TransI_445_MDL,double,
TransI_532_Val,double,
TransI_532_Status,categorical,
TransI_532_ProviderFlag,categorical,
TransI_532_Unc,double,
TransI_532_MDL,double,
TransI_635_Val,double,
TransI_635_Status,categorical,
TransI_635_ProviderFlag,categorical,
TransI_635_Unc,double,
TransI_635_MDL,double,
TransI_780_Val,double,
TransI_780_Status,categorical,
TransI_780_ProviderFlag,categorical,
TransI_780_Unc,double,
TransI_780_MDL,double,
TransI_808_Val,double,
TransI_808_Status,categorical,
TransI_808_ProviderFlag,categorical,
TransI_808_Unc,double,
TransI_808_MDL,double,
TransI_980_Val,double,
TransI_980_Status,categorical,
TransI_980_ProviderFlag,categorical,
TransI_980_Unc,double,
TransI_980_MDL,double,
FEf_Val,double,Fe
FEf_Status,categorical,Fe_Status
FEf_ProviderFlag,categorical,
FEf_Unc,double,Fe_Unc
FEf_MDL,double,Fe_MDL
PBf_Val,double,Pb
PBf_Status,categorical,Pb_Status
PBf_ProviderFlag,categorical,
PBf_Unc,double,Pb_Unc
PBf_MDL,double,Pb_MDL
MGf_Val,double,Mg
MGf_Status,categorical,Mg_Status
MGf_ProviderFlag,categorical,
MGf_Unc,double,Mg_Unc
MGf_MDL,double,Mg_MDL
MNf_Val,double,Mn
MNf_Status,categorical,Mn_Status
MNf_ProviderFlag,categorical,
MNf_Unc,double,Mn_Unc
MNf_MDL,double,Mn_MDL
MT_Val,double,MassPM10
MT_Status,categorical,MassPM10_Status
MT_ProviderFlag,categorical,
MT_Unc,double,MassPM10_Unc
MT_MDL,double,MassPM10_MDL
RCTM_Val,double,MassPM10_Reconstr
RCTM_Status,categorical,MassPM10_Reconstr_Status
RCTM_ProviderFlag,categorical,
RCTM_Unc,double,MassPM10_Reconstr_Unc
RCTM_MDL,double,MassPM10_Reconstr_MDL
MF_Val,double,MassFine
MF_Status,categorical,MassFine_Status
MF_ProviderFlag,categorical,
MF_Unc,double,MassFine_Unc
MF_MDL,double,MassFine_MDL
CM_calculated_Val,double,MassCoarse
CM_calculated_Status,categorical,MassCoarse_Status
CM_calculated_ProviderFlag,categorical,
CM_calculated_Unc,double,MassCoarse_Unc
CM_calculated_MDL,double,MassCoarse_MDL
RCFM_Val,double,MassFine_Reconstr
RCFM_Status,categorical,MassFine_Reconstr_Status
RCFM_ProviderFlag,categorical,
RCFM_Unc,double,MassFine_Reconstr_Unc
RCFM_MDL,double,MassFine_Reconstr_MDL
RefM_405_Val,double,
RefM_405_Status,categorical,
RefM_405_ProviderFlag,categorical,
RefM_405_Unc,double,
RefM_405_MDL,double,
RefM_445_Val,double,
RefM_445_Status,categorical,
RefM_445_ProviderFlag,categorical,
RefM_445_Unc,double,
RefM_445_MDL,double,
RefM_532_Val,double,
RefM_532_Status,categorical,
RefM_532_ProviderFlag,categorical,
RefM_532_Unc,double,
RefM_532_MDL,double,
RefM_635_Val,double,
RefM_635_Status,categorical,
RefM_635_ProviderFlag,categorical,
RefM_635_Unc,double,
RefM_635_MDL,double,
RefM_780_Val,double,
RefM_780_Status,categorical,
RefM_780_ProviderFlag,categorical,
RefM_780_Unc,double,
RefM_780_MDL,double,
